codigo_alt,depto,anio,clas_gen,tipo_entidad,clasificacion_ofpuj,entidad,total_recaudo
47001,Magdalena,2024,Ingresos propios,Municipio,Sobretasa ambiental,Santa Marta,24304039124
47001,Magdalena,2024,Ingresos propios,Municipio,Sobretasa ambiental,Santa Marta,2518154239
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto predial unificado,Santa Marta,63961634676
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto predial unificado,Santa Marta,785643248
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto predial unificado,Santa Marta,1868683728
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto predial unificado,Santa Marta,1280598846
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto predial unificado,Santa Marta,55000000
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto predial unificado,Santa Marta,10103919365
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto predial unificado,Santa Marta,508845000
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto predial unificado,Santa Marta,6372569054
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto predial unificado,Santa Marta,64369384
47001,Magdalena,2024,Ingresos propios,Municipio,Sobretasa a la gasolina,Santa Marta,20936315070
47001,Magdalena,2024,Ingresos propios,Municipio,Sobretasa a la gasolina,Santa Marta,211477930
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto de industria y comercio,Santa Marta,22775126649
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto de industria y comercio,Santa Marta,230051784
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto de industria y comercio,Santa Marta,2609027938
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto de industria y comercio,Santa Marta,26353817
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto de industria y comercio,Santa Marta,108919552386
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto de industria y comercio,Santa Marta,1100197498
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto complementario de avisos y tableros,Santa Marta,151929038
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto complementario de avisos y tableros,Santa Marta,15040974829
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto de delineacion,Santa Marta,5203743323
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto de delineacion,Santa Marta,52563063
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto de alumbrado publico,Santa Marta,0
47001,Magdalena,2024,Ingresos propios,Municipio,Sobretasa bomberil,Santa Marta,8630297995
47001,Magdalena,2024,Ingresos propios,Municipio,Impuesto de transporte por oleoductos y gasoductos,Santa Marta,909870935
47001,Magdalena,2024,Ingresos propios,Municipio,Tasa prodeporte y recreacion,Santa Marta,6250112796
47001,Magdalena,2024,Ingresos propios,Municipio,Estampillas,Santa Marta,7053788262
47001,Magdalena,2024,Ingresos propios,Municipio,Estampillas,Santa Marta,2767783495
47001,Magdalena,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Santa Marta,140646846
47001,Magdalena,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Santa Marta,4167234415
47001,Magdalena,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Santa Marta,0
47001,Magdalena,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Santa Marta,212729450
47001,Magdalena,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Santa Marta,117884042
47001,Magdalena,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Santa Marta,1190747
47001,Magdalena,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Santa Marta,3341274039
47001,Magdalena,2024,Ingresos propios,Municipio,"Tasas, multas y contribuciones",Santa Marta,0
